id,DQD,DQB,DQL,GEME,AH,MTH,FH,RT,FU,HO,GEMN,HAUS,LABE,GRUF,VOLU
DENILD800000jezd,1000,1300,1000,03456010,32.517,36.017,36.017,NA,51009_1610,3.5,Isterberg,NA,NA,83.3671875,257.07466961945863
DENILD800000gYMT,1000,1300,1000,03456010,32.547,35.775,35.775,1000,31001_2000,3.228,Isterberg,NA,NA,58.08984375,187.52029167312048
DENILD800000a26E,1000,1300,1000,03456018,31.925,34.854,34.854,1000,31001_2500,2.929,Quendorf,NA,NA,11.0029296875,32.226823359118036
DENILD800000gYR4,1000,1300,1000,03456010,31.732,33.872,38.171,3100,31001_1000,6.439,Isterberg,1,Kettelerweg,105.1416015625,451.05487124284923
DENILD800000a26H,1000,1300,1000,03456018,31.104,34.38,38.122,3100,31001_2720,7.018,Quendorf,NA,NA,136.5595703125,702.9497015984522
DENILD800000gYKN,1000,1300,1000,03456010,32.493,37.231,39.854,3100,31001_2000,7.362,Isterberg,NA,NA,119.013671875,657.5731520482667
DENILD800000gYJx,1000,1300,1000,03456010,32.877,35.881,38.116,3100,31001_2000,5.239,Isterberg,NA,NA,96.783203125,398.90158330671625
DENILD800000a21Y,1000,1300,1000,03456018,31.094,54.549,55.791,5000,31001_2720,24.697,Quendorf,NA,NA,52.0322265625,1251.5460006025828
DENILD800000jez9,1000,1300,1000,03456010,32.91,37.194,38.159,5000,51009_1610,5.249,Isterberg,NA,NA,5.20703125,24.321218631694546
DENILD800000jgSp,1000,1300,1000,03456018,30.593,49.714,49.714,1000,51009_1610,19.121,Quendorf,NA,NA,31.31640625,598.8071752246007
DENILD800000gYPL,1000,1300,1000,03456010,32.985,34.965,34.965,1000,31001_2000,1.981,Isterberg,NA,NA,20.6103515625,40.808810790369606
DENILD800000gYHI,1000,1300,1000,03456010,33.132,35.424,35.424,1000,31001_2000,2.292,Isterberg,NA,NA,26.3740234375,60.44932259488943
DENILD800000a213,1000,1300,1000,03456018,31.942,35.143,39.515,3100,31001_2720,7.573,Quendorf,NA,NA,8.2294921875,972.4335352897302
DENILD800000gYNN,1000,1300,1000,03456010,31.549,36.309,37.828,3100,31001_2720,6.279,Isterberg,NA,NA,155.216796875,809.8480147329254
DENILD800000sOUT,1000,1300,1000,03456010,32.038,34.054,34.054,1000,51003_1201,2.016,Isterberg,NA,NA,3904.3056640625,7871.07753938025
DENILD800000a25h,1000,1300,1000,03456018,32.134,36.645,39.607,3100,31001_1000,7.473,Quendorf,1,Im Hach,131.365234375,722.209723969151
DENILD800000jgSr,1000,1300,1000,03456018,30.823,48.662,50.399,3100,51009_1610,19.576,Quendorf,NA,NA,40.8388671875,764.007115628047
DENILD800000a28a,1000,1300,1000,03456018,31.41,51.382,51.382,1000,31001_2720,19.972,Quendorf,NA,NA,16.392578125,327.4039617729597
DENILD800000lv9q,1000,1300,1000,03456010,31.618,38.239,39.701,3100,31001_1210,8.082,Isterberg,2,Kettelerweg,3.75390625,1341.2805625030342
DENILD800000a26j,1000,1300,1000,03456018,30.6,33.496,37.182,3100,31001_2720,6.582,Quendorf,NA,NA,1.748046875,559.0590691248979
